Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
Lumbini vs Pokhara - 11th Match,Ashutosh Ghiraiya,0,3,0,0,0
Lumbini vs Pokhara - 11th Match,Unmukt Chand,0,4,0,0,0
Lumbini vs Pokhara - 11th Match,Rohit Paudel,95,59,10,4,161.01
Lumbini vs Pokhara - 11th Match,Sundeep Jora,18,15,2,1,120
Lumbini vs Pokhara - 11th Match,Tom Moores,45,38,2,2,118.42
Lumbini vs Pokhara - 11th Match,Bibek Yadav,2,1,0,0,200
Lumbini vs Pokhara - 11th Match,Dinesh Adhikari,,,,,
Lumbini vs Pokhara - 11th Match,Saad Bin Zafar,,,,,
Lumbini vs Pokhara - 11th Match,Ramon Simmonds,,,,,
Lumbini vs Pokhara - 11th Match,Durgesh Gupta,,,,,
Lumbini vs Pokhara - 11th Match,Surya Tamang,,,,,
Lumbini vs Pokhara - 11th Match,Dinesh Kharel,61,46,4,4,132.6
Lumbini vs Pokhara - 11th Match,Andries Gous,104,55,12,5,189.09
Lumbini vs Pokhara - 11th Match,Kushal Bhurtel,,,,,
Lumbini vs Pokhara - 11th Match,Dilip Nath,,,,,
Lumbini vs Pokhara - 11th Match,Matt Critchley,,,,,
Lumbini vs Pokhara - 11th Match,Raymon Reifer,,,,,
Lumbini vs Pokhara - 11th Match,Michael Leask,,,,,
Lumbini vs Pokhara - 11th Match,Narayan Joshi,,,,,
Lumbini vs Pokhara - 11th Match,Bipin Khatri,,,,,
Lumbini vs Pokhara - 11th Match,Aakash Chand,,,,,
Lumbini vs Pokhara - 11th Match,Sagar Dhakal,,,,,
S Paschim vs Lumbini - 12th Match,Saif Zaib,90,61,6,5,147.54
S Paschim vs Lumbini - 12th Match,Binod Bhandari,17,13,2,0,130.76
S Paschim vs Lumbini - 12th Match,Brandon McMullen,23,20,1,1,115
S Paschim vs Lumbini - 12th Match,Dipendra Singh Airee,39,19,4,2,205.26
S Paschim vs Lumbini - 12th Match,Aarif Sheikh,0,1,0,0,0
S Paschim vs Lumbini - 12th Match,Scott Kuggeleijn,11,6,0,1,183.33
S Paschim vs Lumbini - 12th Match,Basant Khatri,,,,,
S Paschim vs Lumbini - 12th Match,Ishan Pandey,,,,,
S Paschim vs Lumbini - 12th Match,Naren Saud,,,,,
S Paschim vs Lumbini - 12th Match,Abinash Bohara,,,,,
S Paschim vs Lumbini - 12th Match,Naresh Budayair,,,,,
S Paschim vs Lumbini - 12th Match,Arjun Saud,0,1,0,0,0
S Paschim vs Lumbini - 12th Match,Unmukt Chand,4,4,1,0,100
S Paschim vs Lumbini - 12th Match,Rohit Paudel,5,6,1,0,83.33
S Paschim vs Lumbini - 12th Match,Sundeep Jora,20,26,0,1,76.92
S Paschim vs Lumbini - 12th Match,Tom Moores,7,7,0,1,100
S Paschim vs Lumbini - 12th Match,Saad Bin Zafar,0,1,0,0,0
S Paschim vs Lumbini - 12th Match,Bibek Yadav,77,54,3,7,142.59
S Paschim vs Lumbini - 12th Match,Dinesh Adhikari,14,16,2,0,87.5
S Paschim vs Lumbini - 12th Match,Ramon Simmonds,0,1,0,0,0
S Paschim vs Lumbini - 12th Match,Surya Tamang,7,5,1,0,140
S Paschim vs Lumbini - 12th Match,Durgesh Gupta,0,1,0,0,0
Karnali vs Biratnagar - 13th Match,Shikhar Dhawan,5,5,1,0,100
Karnali vs Biratnagar - 13th Match,Dev Khanal,53,48,4,2,110.41
Karnali vs Biratnagar - 13th Match,Chadwick Walton,1,5,0,0,20
Karnali vs Biratnagar - 13th Match,William Bosisto,66,49,5,3,134.69
Karnali vs Biratnagar - 13th Match,Gulsan Jha,0,1,0,0,0
Karnali vs Biratnagar - 13th Match,Arjun Gharti,1,4,0,0,25
Karnali vs Biratnagar - 13th Match,Zeeshan Maqsood,2,3,0,0,66.66
Karnali vs Biratnagar - 13th Match,Sompal Kami,0,0,0,0,-
Karnali vs Biratnagar - 13th Match,Nandan Yadav,0,3,0,0,0
Karnali vs Biratnagar - 13th Match,Unish Thakuri,0,1,0,0,0
Karnali vs Biratnagar - 13th Match,Bipin Sharma,0,1,0,0,0
Karnali vs Biratnagar - 13th Match,Lokesh Bam,19,9,1,2,211.11
Karnali vs Biratnagar - 13th Match,Martin Guptill,4,4,1,0,100
