matches_name,Player_Name,Overs,Maidens,Runs_conceded,Wickets,Economy,Wides,No_balls
Chitwan vs Karnali - 10th Match,Rijan Dhakal,3.5,0,35,0,9.13,2,0
Chitwan vs Karnali - 10th Match,Sharad Vesawkar,2,0,16,0,8,0,0
Chitwan vs Karnali - 10th Match,Kushal Malla,4,0,13,1,3.25,0,0
Chitwan vs Karnali - 10th Match,Jan Nicol Loftie-Eaton,3,0,16,1,5.33,0,0
Chitwan vs Karnali - 10th Match,Luc Benkenstein,1,0,17,0,17,2,0
Chitwan vs Karnali - 10th Match,Ravi Bopara,2,0,14,1,7,1,0
Lumbini vs Pokhara - 11th Match,Bipin Khatri,3,0,18,2,6,0,0
Lumbini vs Pokhara - 11th Match,Raymon Reifer,4,0,30,0,7.5,2,0
Lumbini vs Pokhara - 11th Match,Aakash Chand,4,0,35,0,8.75,1,0
Lumbini vs Pokhara - 11th Match,Matt Critchley,3,0,29,1,9.66,1,0
Lumbini vs Pokhara - 11th Match,Michael Leask,4,0,33,0,8.25,0,0
Lumbini vs Pokhara - 11th Match,Sagar Dhakal,2,0,23,0,11.5,0,0
Lumbini vs Pokhara - 11th Match,Ramon Simmonds,2,0,20,0,10,1,0
Lumbini vs Pokhara - 11th Match,Durgesh Gupta,3,0,41,0,13.66,0,0
Lumbini vs Pokhara - 11th Match,Saad Bin Zafar,3,0,26,0,8.66,1,0
Lumbini vs Pokhara - 11th Match,Surya Tamang,3.5,0,30,0,7.82,0,0
Lumbini vs Pokhara - 11th Match,Dinesh Adhikari,1,0,20,0,20,0,0
Lumbini vs Pokhara - 11th Match,Rohit Paudel,3,0,23,0,7.66,0,0
Lumbini vs Pokhara - 11th Match,Bibek Yadav,1,0,13,0,13,0,0
S Paschim vs Lumbini - 12th Match,Ramon Simmonds,4,0,32,2,8,0,0
S Paschim vs Lumbini - 12th Match,Durgesh Gupta,2,0,26,0,13,0,0
S Paschim vs Lumbini - 12th Match,Dinesh Adhikari,1,0,11,0,11,0,0
S Paschim vs Lumbini - 12th Match,Rohit Paudel,4,0,22,1,5.5,0,0
S Paschim vs Lumbini - 12th Match,Saad Bin Zafar,3,0,28,0,9.33,0,0
S Paschim vs Lumbini - 12th Match,Bibek Yadav,3,0,35,1,11.66,2,0
S Paschim vs Lumbini - 12th Match,Surya Tamang,3,0,28,0,9.33,0,0
S Paschim vs Lumbini - 12th Match,Scott Kuggeleijn,4,0,19,2,4.75,3,0
S Paschim vs Lumbini - 12th Match,Brandon McMullen,4,0,21,3,5.25,0,2
S Paschim vs Lumbini - 12th Match,Naren Saud,3,0,29,0,9.66,1,0
S Paschim vs Lumbini - 12th Match,Saif Zaib,4,0,33,3,8.25,1,0
S Paschim vs Lumbini - 12th Match,Abinash Bohara,4,0,28,1,7,0,0
S Paschim vs Lumbini - 12th Match,Basant Khatri,1,0,12,0,12,0,0
Karnali vs Biratnagar - 13th Match,Chris Sole,4,0,25,2,6.25,1,0
Karnali vs Biratnagar - 13th Match,Pratis GC,4,1,17,4,4.25,1,0
Karnali vs Biratnagar - 13th Match,Basir Ahamad,4,0,22,2,5.5,1,0
Karnali vs Biratnagar - 13th Match,Sandeep Lamichhane,4,0,36,0,9,0,0
Karnali vs Biratnagar - 13th Match,Aqib Ilyas,4,0,31,1,7.75,0,0
Karnali vs Biratnagar - 13th Match,Sompal Kami,4,0,27,1,6.75,1,0
Karnali vs Biratnagar - 13th Match,Bipin Sharma,4,1,20,2,5,1,0
Karnali vs Biratnagar - 13th Match,Zeeshan Maqsood,2,0,16,0,8,0,0
Karnali vs Biratnagar - 13th Match,Nandan Yadav,4,0,19,3,4.75,1,0
Karnali vs Biratnagar - 13th Match,William Bosisto,4,0,21,1,5.25,0,0
Karnali vs Biratnagar - 13th Match,Unish Thakuri,2,0,17,1,8.5,0,0
Janakpur vs Lumbini - 14th Match,Ramon Simmonds,3,0,26,0,8.66,1,0
Janakpur vs Lumbini - 14th Match,Durgesh Gupta,2,0,16,0,8,0,0
