Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Harsh Thaker,All Rounder,9, T,S Paschim   - 18th ,5,2,1,0,250, T,3,1,9,1,3,0,0
Harsh Thaker,All Rounder,9, T,S Paschim   - Final,30,24,0,2,125, T,3,1,33,0,11,0,0
Hemant Dhami,Right-Arm Medium Fast Bowler,1, T,  Lumbini - 14th ,9,11,1,0,81.82, F,0,0,0,0,0,0,0
Hemant Dhami,Right-Arm Medium Fast Bowler,1, F,Pokhara   - 8th ,0,0,0,0,0, F,0,0,0,0,0,0,0
James Neesham,All Rounder,9, T,Chitwan   - 25th ,65,24,5,6,270.83, T,3,0,37,1,12.33,0,0
James Neesham,All Rounder,9, T,  Lumbini - 14th ,1,2,0,0,50, T,1,0,9,0,9,0,0
James Neesham,All Rounder,9, T,  S Paschim - Qualifier 1,45,23,3,3,195.65, T,3,0,25,0,8.33,2,0
James Neesham,All Rounder,9, T,Karnali   - 3rd ,16,8,2,1,200, T,4,0,37,1,9.25,0,0
James Neesham,All Rounder,9, T,Karnali   - Qualifier 2,45,17,2,5,264.71, T,4,0,30,2,7.5,1,0
James Neesham,All Rounder,9, T,Kathmandu   - 21st ,27,17,1,3,158.82, T,1,0,10,0,10,1,0
James Neesham,All Rounder,9, T,Pokhara   - 8th ,40,20,0,5,200, T,4,0,29,2,7.25,2,0
James Neesham,All Rounder,9, T,S Paschim   - 18th ,4,8,1,0,50, T,2,0,12,0,6,0,0
James Neesham,All Rounder,9, T,S Paschim   - Final,4,7,0,0,57.14, T,4,0,44,1,11,2,0
Joshua Tromp,Right Handed Batter,1, T,S Paschim   - 18th ,13,13,1,1,100, F,0,0,0,0,0,0,0
Kishore Mahato,All Rounder,4, F,Biratnagar   - 1st ,0,0,0,0,0, T,3,0,18,2,6,2,1
Kishore Mahato,All Rounder,4, T,Chitwan   - 25th ,4,8,0,0,50, T,3,0,40,0,13.33,4,0
Kishore Mahato,All Rounder,4, F,  Lumbini - 14th ,0,0,0,0,0, T,3,0,25,1,8.33,1,0
Kishore Mahato,All Rounder,4, T,  S Paschim - Qualifier 1,2,2,0,0,100, T,3,0,14,1,4.67,1,0
Kishore Mahato,All Rounder,4, F,Karnali   - 3rd ,0,0,0,0,0, T,4,0,28,1,7,7,0
Kishore Mahato,All Rounder,4, T,Karnali   - Qualifier 2,0,0,0,0,0, T,3,0,34,0,11.33,0,0
Kishore Mahato,All Rounder,4, F,Kathmandu   - 21st ,0,0,0,0,0, T,3,1,14,1,4.67,0,0
Kishore Mahato,All Rounder,4, F,Pokhara   - 8th ,0,0,0,0,0, T,4,0,32,1,8,1,0
Kishore Mahato,All Rounder,4, T,S Paschim   - 18th ,0,11,0,0,0, T,4,0,35,4,8.75,2,0
Kishore Mahato,All Rounder,4, F,S Paschim   - Final,0,0,0,0,0, T,3,0,25,3,8.33,0,0
Lahiru Milantha,Wicketkeeper Batter,10, T,Biratnagar   - 1st ,75,53,9,3,141.51, F,0,0,0,0,0,0,0
