"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Janakpur vs S Paschim - Qualifier 1",3,6,0,0,"50","3.3",0,33,0,"9.42",1,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,"4",0,14,2,"3.5",0,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Karnali vs Janakpur - Qualifier 2",1,2,0,0,"50","4",1,14,2,"3.5",0,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Kathmandu vs Janakpur - 21st Match",13,7,3,0,"185.71","4",0,20,2,"5",0,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,"4",1,17,1,"4.25",0,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"S Paschim vs Janakpur - Final",9,8,0,1,"112.5","4",0,40,3,"10",0,0
"Sher Malla","right handed Batter",5,"Chitwan vs Janakpur - 25th Match",5,8,0,0,"62.5","2",0,20,0,"10",0,0
"Sher Malla","right handed Batter",5,"Janakpur vs Lumbini - 14th Match",0,2,0,0,"0","4",0,33,1,"8.25",2,0
"Sher Malla","right handed Batter",5,"Janakpur vs S Paschim - Qualifier 1",3,3,0,0,"100","3",0,20,0,"6.66",0,0
"Sher Malla","right handed Batter",5,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sher Malla","right handed Batter",5,"Karnali vs Janakpur - Qualifier 2",16,10,0,1,"160","1",0,4,1,"4",0,0
"Sher Malla","right handed Batter",5,"Kathmandu vs Janakpur - 21st Match",NULL,NULL,NULL,NULL,NULL,"3.3",0,11,3,"3.14",0,0
"Sher Malla","right handed Batter",5,"S Paschim vs Janakpur - 18th Match",0,4,0,0,"0","4",0,19,2,"4.75",0,0
"Sher Malla","right handed Batter",5,"S Paschim vs Janakpur - Final",NULL,NULL,NULL,NULL,NULL,"2",0,25,0,"12.5",0,0
"Shubh Kansakar","right handed Batter",6,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Chitwan vs Janakpur - 25th Match",15,12,2,1,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Janakpur vs Lumbini - 14th Match",22,24,0,2,"91.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Janakpur vs S Paschim - Qualifier 1",26,24,4,0,"108.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Karnali vs Janakpur - Qualifier 2",3,6,0,0,"50",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Kathmandu vs Janakpur - 21st Match",5,7,1,0,"71.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"S Paschim vs Janakpur - 18th Match",0,3,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shubh Kansakar","right handed Batter",6,"S Paschim vs Janakpur - Final",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tul Thapa","left-arm chinaman Bowler",0,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,"1",0,7,0,"7",0,0
"Tul Thapa","left-arm chinaman Bowler",0,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tul Thapa","left-arm chinaman Bowler",0,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,"1",0,12,0,"12",0,0
